[legalize_heu] log lengths/displacements in physical coords (geometry_scale=6.00)
[legalize_heu] snapped 37 boundary module(s) to die edge

[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(23.00, 23.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=183 center=(6.49393, 27.3868) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=484 center=(38.6292, 15.8234) dx=0.016615 dy=-0.074172 rot90=1 weight=2
    [move_apply] module_id=673 center=(22.7397, 40.32) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=551 center=(31.4952, 7.84278) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=365 center=(30.2258, 38.8174) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=671 center=(36.9515, 33.5007) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=656 center=(18.6906, 39.9835) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=756 center=(38.439, 14.7182) dx=0 dy=0.030787 rot90=0 weight=2
    [move_apply] module_id=467 center=(40.2755, 19.6096) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=655 center=(27.5169, 40.0203) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=809 center=(21.0768, 5.45912) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=710 center=(6.48484, 29.2419) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=250 center=(16.1742, 6.7039) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=110 center=(33.7548, 37.1017) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=278 center=(33.3827, 8.45069) dx=0.00922271 dy=0 rot90=0 weight=2
    [move_apply] module_id=688 center=(39.0137, 31.0468) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=797 center=(8.48839, 12.4309) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=182 center=(6.42102, 29.9116) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=131 center=(10.2085, 35.5381) dx=0 dy=-0.106729 rot90=1 weight=2
